,name,id,nametype,recclass,mass (g),fall,reclat,reclong,GeoLocation,Year,City,Country
38247,Waldron Ridge,24203,Valid,"Iron, IAB complex",13600.0,Found,36.63333,-83.83333,"(36.63333, -83.83333)",1887.0,clinton,us
36741,San Emigdio,23122,Valid,H4,36000.0,Found,36.0,-119.0,"(36.0, -119.0)",1887.0,porterville,us
36813,San Pedro Springs,23131,Valid,L6,72.0,Found,29.5,-98.5,"(29.5, -98.5)",1887.0,san antonio,us
5611,Crab Orchard,5461,Valid,Mesosiderite-A1,48500.0,Found,35.83333,-84.91667,"(35.83333, -84.91667)",1887.0,crossville,us
5386,Carlton,5277,Valid,"Iron, IAB-sLM",81200.0,Found,31.91667,-98.03333,"(31.91667, -98.03333)",1887.0,stephenville,us
26179,Morristown,16750,Valid,Mesosiderite-A3,16300.0,Found,36.2,-83.38333,"(36.2, -83.38333)",1887.0,morristown,us
11761,Franklinville,10179,Valid,L6,108.0,Found,38.5,-100.0,"(38.5, -100.0)",1888.0,dodge city,us
38004,Thomson,23973,Valid,L6,218.0,Found,33.46667,-82.48333000000001,"(33.46667, -82.48333)",1888.0,evans,us
37710,St. Genevieve County,23086,Valid,"Iron, IIIF",244500.0,Found,37.96667,-90.31667,"(37.96667, -90.31667)",1888.0,farmington,us
21658,Lonaconing,14680,Valid,"Iron, IAB-sHL",1400.0,Found,39.41667,-79.15,"(39.41667, -79.15)",1888.0,cumberland,us
38287,Welland,24235,Valid,"Iron, IIIAB",8200.0,Found,43.01667,-79.21667,"(43.01667, -79.21667)",1888.0,niagara falls,us
299,Ferguson,10088,Valid,OC,220.0,Fell,36.1,-81.41667,"(36.1, -81.41667)",1889.0,lenoir,us
16526,Iron River,12048,Valid,"Iron, IVA",1420.0,Found,46.079440000000005,-88.55972,"(46.07944, -88.55972)",1889.0,marquette,us
38070,Travis County (a),24040,Valid,H5,175400.0,Found,30.3,-97.7,"(30.3, -97.7)",1889.0,austin,us
6894,Dexter,6697,Valid,"Iron, IIIAB",1724.0,Found,33.81667,-97.0,"(33.81667, -97.0)",1889.0,gainesville,us
16403,Hopper,11907,Valid,"Iron, IIIAB",1800.0,Found,36.55,-79.78333,"(36.55, -79.78333)",1889.0,eden,us
17343,Kenton County,12280,Valid,"Iron, IIIAB",194000.0,Found,38.81667,-84.6,"(38.81667, -84.6)",1889.0,independence,us
38071,Travis County (b),24041,Valid,H4,5900.0,Found,30.555559999999996,-97.95278,"(30.55556, -97.95278)",1889.0,leander,us
292,Farmington,10074,Valid,L5,89400.0,Fell,39.75,-97.03333,"(39.75, -97.03333)",1890.0,beatrice,us
38299,Western Arkansas,24248,Valid,"Iron, IVA",1750.0,Found,35.0,-94.0,"(35.0, -94.0)",1890.0,fort smith,us
303,Forest City,10119,Valid,H5,152000.0,Fell,43.25,-93.66667,"(43.25, -93.66667)",1890.0,mason city,us
26175,Morland,16746,Valid,H6,295000.0,Found,39.33333,-100.06667,"(39.33333, -100.06667)",1890.0,hays,us
36427,Sacramento Mountains,22794,Valid,"Iron, IIIAB",237200.0,Found,32.91667,-104.66667,"(32.91667, -104.66667)",1890.0,artesia,us
5203,Bridgewater,5139,Valid,"Iron, IID",13600.0,Found,35.71667,-81.86667,"(35.71667, -81.86667)",1890.0,morganton,us
37747,Summit,23744,Valid,"Iron, IIAB",1000.0,Found,34.2,-86.48333000000001,"(34.2, -86.48333)",1890.0,albertville,us
11756,Franceville,10173,Valid,"Iron, IIIAB",18800.0,Found,38.81667,-104.61667,"(38.81667, -104.61667)",1890.0,cimarron hills,us
21672,Long Island,14694,Valid,L6,564000.0,Found,39.93333,-99.6,"(39.93333, -99.6)",1891.0,lexington,us
11748,Forsyth County,10165,Valid,"Iron, IIAB",22700.0,Found,36.1,-80.2,"(36.1, -80.2)",1891.0,winston-salem,us
17359,Kingston,12318,Valid,"Iron, ungrouped",12900.0,Found,32.9,-107.73333000000001,"(32.9, -107.73333)",1891.0,truth or consequences,us
5370,Canyon Diablo,5257,Valid,"Iron, IAB-MG",30000000.0,Found,35.05,-111.03333,"(35.05, -111.03333)",1891.0,winslow,us
5020,Bald Eagle,4924,Valid,"Iron, IIIAB",3200.0,Found,41.28333,-77.05,"(41.28333, -77.05)",1891.0,williamsport,us
17291,Jonesboro,12201,Valid,"Iron, IVA",30.0,Found,36.3,-82.46667,"(36.3, -82.46667)",1891.0,johnson city,us
84,Bath,4974,Valid,H4,21000.0,Fell,45.41667,-98.31667,"(45.41667, -98.31667)",1892.0,aberdeen,us
6824,Dayton,6620,Valid,"Iron, IAB-sLH",26300.0,Found,39.75,-84.16667,"(39.75, -84.16667)",1892.0,dayton,us
218,Cross Roads,5476,Valid,H5,167.0,Fell,35.63333,-78.13333,"(35.63333, -78.13333)",1892.0,wilson,us
9217,El Capitan,7794,Valid,"Iron, IIIAB",27500.0,Found,33.5,-105.5,"(33.5, -105.5)",1893.0,ruidoso,us
31987,Persimmon Creek,18796,Valid,"Iron, IAB-sLM",5000.0,Found,35.05,-84.23333000000001,"(35.05, -84.23333)",1893.0,athens,us
17370,Kofa,12339,Valid,"Iron, IAB-sHH",490.0,Found,33.5,-114.0,"(33.5, -114.0)",1893.0,blythe,us
32051,Prairie Dog Creek,18882,Valid,H3.7,2900.0,Found,39.63333,-100.5,"(39.63333, -100.5)",1893.0,lexington,us
17336,Kaufman,12267,Valid,L5,23000.0,Found,32.58333,-96.41667,"(32.58333, -96.41667)",1893.0,seagoville,us
